loan_id,origination_month,channel,product,region,credit_score,risk_band,principal_ugx,term_months,apr,months_on_book,days_past_due,delinquency_bucket,loan_status,months_to_default,principal_repaid_ugx,outstanding_ugx,contact_strategy
LN-500063,2024-01,Agent network,Salary advance,Central,650,Near-prime,1184000.0,18,0.2981,18,12,1-29,Closed,,1184000.0,0.0,SMS only
LN-500064,2024-01,Branch,SME working capital,Northern,613,Subprime,1862000.0,18,0.3827,18,35,30-59,Delinquent,10.0,210600.0,1651400.0,SMS only
LN-500065,2024-01,Agent network,Asset finance,Eastern,534,Subprime,5892000.0,9,0.3763,9,0,Current,Closed,,5892000.0,0.0,Field visit
LN-500066,2024-01,Branch,Salary advance,Central,577,Subprime,977000.0,24,0.3957,24,0,Current,Closed,,977000.0,0.0,Call + SMS
LN-500067,2024-01,Partner retail,Asset finance,Eastern,571,Subprime,3230000.0,6,0.3651,6,0,Current,Closed,,3230000.0,0.0,Call + SMS
LN-500068,2024-01,Digital app,Asset finance,Eastern,553,Subprime,445000.0,9,0.3664,9,0,Current,Closed,,445000.0,0.0,Call + SMS
LN-500069,2024-01,Branch,Salary advance,Western,713,Prime,3525000.0,9,0.2265,9,0,Current,Closed,,3525000.0,0.0,Call + SMS
LN-500070,2024-01,Digital app,Consumer durable,Northern,747,Prime,1877000.0,6,0.2121,6,130,90+,Default,6.0,932500.0,944500.0,SMS only
LN-500071,2024-01,Branch,Consumer durable,Western,659,Near-prime,10682000.0,9,0.3303,9,0,Current,Closed,,10682000.0,0.0,Field visit
LN-500072,2024-01,Branch,Salary advance,Northern,546,Subprime,1050000.0,12,0.3531,12,0,Current,Closed,,1050000.0,0.0,Call + SMS
LN-500073,2024-01,Agent network,Asset finance,Eastern,645,Near-prime,2556000.0,18,0.2999,18,0,Current,Closed,,2556000.0,0.0,SMS only
LN-500074,2024-01,Agent network,Asset finance,Central,490,Subprime,436000.0,9,0.3693,9,0,Current,Closed,,436000.0,0.0,SMS only
LN-500075,2024-01,Digital app,Salary advance,Western,617,Subprime,5365000.0,6,0.3874,6,0,Current,Closed,,5365000.0,0.0,None
LN-500076,2024-01,Agent network,Asset finance,Eastern,520,Subprime,1702000.0,24,0.3809,24,0,Current,Closed,,1702000.0,0.0,Call + SMS
LN-500077,2024-01,Branch,SME working capital,Northern,813,Prime,1606000.0,9,0.208,9,0,Current,Closed,,1606000.0,0.0,SMS only
LN-500078,2024-01,Agent network,Asset finance,Central,622,Near-prime,3359000.0,12,0.3056,12,190,90+,Default,2.0,201100.0,3157900.0,Call + SMS
LN-500079,2024-01,Digital app,Consumer durable,Eastern,675,Near-prime,2002000.0,12,0.321,12,0,Current,Closed,,2002000.0,0.0,Call + SMS
LN-500080,2024-01,Branch,Asset finance,Eastern,663,Near-prime,1285000.0,9,0.2971,9,0,Current,Closed,,1285000.0,0.0,Call + SMS
LN-500081,2024-01,Digital app,Salary advance,Eastern,569,Subprime,2411000.0,12,0.3875,12,0,Current,Closed,,2411000.0,0.0,Call + SMS
LN-500082,2024-01,Branch,Asset finance,Central,649,Near-prime,1023000.0,24,0.3105,24,12,1-29,Closed,,1023000.0,0.0,Call + SMS
LN-500083,2024-01,Agent network,SME working capital,Central,557,Subprime,996000.0,12,0.3727,12,35,30-59,Delinquent,2.0,341200.0,654800.0,Field visit
LN-500084,2024-01,Partner retail,Consumer durable,Eastern,586,Subprime,1377000.0,9,0.3582,9,0,Current,Closed,,1377000.0,0.0,Call + SMS
LN-500085,2024-01,Digital app,Asset finance,Western,740,Prime,322000.0,12,0.2337,12,0,Current,Closed,,322000.0,0.0,Call + SMS
LN-500086,2024-01,Branch,Consumer durable,Western,530,Subprime,2183000.0,6,0.3753,6,190,90+,Default,2.0,948400.0,1234600.0,Field visit
LN-500087,2024-01,Branch,Salary advance,Central,580,Subprime,483000.0,12,0.384,12,0,Current,Closed,,483000.0,0.0,SMS only
LN-500088,2024-01,Branch,SME working capital,Western,679,Near-prime,1443000.0,6,0.3071,6,0,Current,Closed,,1443000.0,0.0,Call + SMS
LN-500089,2024-01,Digital app,SME working capital,Central,612,Subprime,2771000.0,18,0.3646,18,0,Current,Closed,,2771000.0,0.0,SMS only
LN-500090,2024-01,Digital app,Consumer durable,Northern,610,Subprime,4760000.0,9,0.3863,9,0,Current,Closed,,4760000.0,0.0,None
LN-500091,2024-01,Digital app,Salary advance,Eastern,691,Near-prime,1093000.0,24,0.3063,24,0,Current,Closed,,1093000.0,0.0,Field visit
LN-500092,2024-01,Partner retail,Asset finance,Central,650,Near-prime,789000.0,9,0.3135,9,0,Current,Closed,,789000.0,0.0,Field visit
LN-500093,2024-01,Agent network,SME working capital,Eastern,533,Subprime,1318000.0,12,0.3898,12,12,1-29,Closed,,1318000.0,0.0,Call + SMS
LN-500094,2024-01,Digital app,Salary advance,Central,728,Prime,4937000.0,18,0.2338,18,0,Current,Closed,,4937000.0,0.0,Field visit
LN-500095,2024-01,Branch,Consumer durable,Northern,574,Subprime,1124000.0,6,0.3605,6,130,90+,Default,6.0,562100.0,561900.0,Call + SMS
LN-500096,2024-01,Agent network,Consumer durable,Central,574,Subprime,1951000.0,9,0.3622,9,0,Current,Closed,,1951000.0,0.0,Field visit
LN-500097,2024-01,Partner retail,Consumer durable,Central,587,Subprime,1477000.0,6,0.3599,6,0,Current,Closed,,1477000.0,0.0,SMS only
LN-500098,2024-01,Partner retail,SME working capital,Central,610,Subprime,996000.0,9,0.3732,9,0,Current,Closed,,996000.0,0.0,SMS only
LN-500099,2024-01,Branch,Asset finance,Western,751,Prime,3789000.0,12,0.2059,12,0,Current,Closed,,3789000.0,0.0,SMS only
LN-500100,2024-01,Agent network,Asset finance,Northern,471,Subprime,1038000.0,12,0.3486,12,0,Current,Closed,,1038000.0,0.0,SMS only
LN-500101,2024-01,Digital app,Consumer durable,Central,599,Subprime,953000.0,12,0.3766,12,0,Current,Closed,,953000.0,0.0,Field visit
LN-500102,2024-01,Digital app,Consumer durable,Northern,381,Subprime,682000.0,12,0.3818,12,0,Current,Closed,,682000.0,0.0,Field visit
LN-500103,2024-01,Partner retail,Consumer durable,Central,742,Prime,612000.0,18,0.2349,18,0,Current,Closed,,612000.0,0.0,SMS only
LN-500104,2024-01,Agent network,Consumer durable,Northern,551,Subprime,1399000.0,12,0.3932,12,0,Current,Closed,,1399000.0,0.0,SMS only
LN-500105,2024-01,Branch,Consumer durable,Central,704,Prime,2767000.0,12,0.2225,12,0,Current,Closed,,2767000.0,0.0,None
LN-500106,2024-01,Agent network,SME working capital,Eastern,658,Near-prime,2135000.0,12,0.3258,12,0,Current,Closed,,2135000.0,0.0,SMS only
LN-500107,2024-01,Digital app,Salary advance,Central,698,Near-prime,1579000.0,24,0.325,24,0,Current,Closed,,1579000.0,0.0,SMS only
LN-500108,2024-01,Agent network,Salary advance,Northern,514,Subprime,3003000.0,18,0.388,18,38,30-59,Closed,,3003000.0,0.0,None
LN-500109,2024-01,Digital app,Salary advance,Western,565,Subprime,1659000.0,24,0.3569,24,0,Current,Closed,,1659000.0,0.0,SMS only
LN-500110,2024-01,Branch,SME working capital,Western,687,Near-prime,2398000.0,24,0.2938,24,0,Current,Closed,,2398000.0,0.0,Field visit
LN-500111,2024-01,Agent network,SME working capital,Eastern,477,Subprime,858000.0,12,0.3698,12,190,90+,Default,9.0,311800.0,546200.0,SMS only
LN-500112,2024-01,Partner retail,Asset finance,Central,697,Near-prime,2568000.0,18,0.2998,18,0,Current,Closed,,2568000.0,0.0,Field visit
LN-500113,2024-01,Agent network,Salary advance,Central,476,Subprime,4534000.0,12,0.3585,12,0,Current,Closed,,4534000.0,0.0,SMS only
LN-500114,2024-01,Agent network,Asset finance,Western,609,Subprime,2308000.0,18,0.3722,18,0,Current,Closed,,2308000.0,0.0,Field visit
LN-500115,2024-01,Partner retail,Consumer durable,Western,456,Subprime,1012000.0,9,0.3771,9,0,Current,Closed,,1012000.0,0.0,SMS only
LN-500116,2024-01,Branch,Consumer durable,Central,598,Subprime,1526000.0,18,0.3787,18,0,Current,Closed,,1526000.0,0.0,SMS only
LN-500117,2024-01,Agent network,Consumer durable,Western,643,Near-prime,823000.0,18,0.2883,18,0,Current,Closed,,823000.0,0.0,Call + SMS
LN-500118,2024-01,Branch,SME working capital,Western,726,Prime,1383000.0,6,0.2266,6,0,Current,Closed,,1383000.0,0.0,None
LN-500119,2024-01,Digital app,Asset finance,Central,581,Subprime,980000.0,18,0.3606,18,0,Current,Closed,,980000.0,0.0,SMS only
LN-500120,2024-01,Digital app,Asset finance,Central,658,Near-prime,1809000.0,6,0.3187,6,0,Current,Closed,,1809000.0,0.0,None
LN-500121,2024-01,Digital app,Salary advance,Central,637,Near-prime,4854000.0,9,0.3033,9,0,Current,Closed,,4854000.0,0.0,Field visit
LN-500122,2024-01,Digital app,Salary advance,Eastern,562,Subprime,1315000.0,12,0.3707,12,65,60-89,Delinquent,1.0,610100.0,704900.0,Field visit
LN-500123,2024-01,Branch,Asset finance,Eastern,768,Prime,1308000.0,6,0.2208,6,0,Current,Closed,,1308000.0,0.0,Call + SMS
LN-500124,2024-01,Branch,SME working capital,Western,560,Subprime,2349000.0,6,0.3619,6,12,1-29,Closed,,2349000.0,0.0,SMS only
LN-500125,2024-01,Branch,Asset finance,Central,630,Near-prime,483000.0,12,0.3128,12,0,Current,Closed,,483000.0,0.0,Call + SMS
LN-500126,2024-01,Partner retail,Consumer durable,Western,578,Subprime,1429000.0,6,0.394,6,0,Current,Closed,,1429000.0,0.0,SMS only
LN-500127,2024-01,Branch,Salary advance,Northern,593,Subprime,2290000.0,9,0.3629,9,0,Current,Closed,,2290000.0,0.0,SMS only
LN-500128,2024-01,Partner retail,Consumer durable,Western,724,Prime,2011000.0,6,0.215,6,12,1-29,Closed,,2011000.0,0.0,Field visit
LN-500129,2024-01,Branch,Asset finance,Western,670,Near-prime,1115000.0,12,0.3294,12,0,Current,Closed,,1115000.0,0.0,SMS only
LN-500130,2024-01,Agent network,Salary advance,Western,418,Subprime,904000.0,12,0.3759,12,0,Current,Closed,,904000.0,0.0,Call + SMS
LN-500131,2024-01,Partner retail,Salary advance,Northern,597,Subprime,1135000.0,12,0.3631,12,38,30-59,Closed,,1135000.0,0.0,SMS only
LN-500132,2024-01,Digital app,Asset finance,Western,531,Subprime,31918000.0,24,0.3856,24,0,Current,Closed,,31918000.0,0.0,SMS only
LN-500133,2024-01,Branch,Asset finance,Central,648,Near-prime,2591000.0,12,0.3308,12,0,Current,Closed,,2591000.0,0.0,SMS only
LN-500134,2024-01,Digital app,Consumer durable,Central,650,Near-prime,483000.0,12,0.3212,12,0,Current,Closed,,483000.0,0.0,Call + SMS
LN-500135,2024-01,Branch,Salary advance,Central,541,Subprime,1445000.0,9,0.3794,9,0,Current,Closed,,1445000.0,0.0,SMS only
LN-500136,2024-01,Agent network,Asset finance,Eastern,700,Prime,1184000.0,18,0.2088,18,0,Current,Closed,,1184000.0,0.0,None
LN-500137,2024-01,Partner retail,Consumer durable,Western,726,Prime,1929000.0,12,0.232,12,0,Current,Closed,,1929000.0,0.0,SMS only
LN-500138,2024-01,Agent network,Asset finance,Western,561,Subprime,1713000.0,6,0.377,6,0,Current,Closed,,1713000.0,0.0,SMS only
LN-500139,2024-01,Agent network,Salary advance,Eastern,575,Subprime,2985000.0,12,0.3569,12,0,Current,Closed,,2985000.0,0.0,Field visit
LN-500140,2024-01,Branch,Consumer durable,Central,552,Subprime,2942000.0,12,0.3538,12,0,Current,Closed,,2942000.0,0.0,None
LN-500141,2024-01,Agent network,Salary advance,Central,644,Near-prime,2710000.0,6,0.3202,6,0,Current,Closed,,2710000.0,0.0,None
LN-500142,2024-01,Agent network,Salary advance,Eastern,631,Near-prime,963000.0,12,0.2994,12,35,30-59,Delinquent,3.0,475300.0,487700.0,Call + SMS
LN-500143,2024-01,Branch,SME working capital,Central,608,Subprime,837000.0,9,0.3831,9,12,1-29,Closed,,837000.0,0.0,Call + SMS
LN-500144,2024-01,Partner retail,Salary advance,Northern,599,Subprime,3349000.0,18,0.3814,18,0,Current,Closed,,3349000.0,0.0,Call + SMS
LN-500145,2024-01,Digital app,Salary advance,Central,652,Near-prime,3192000.0,18,0.3054,18,68,60-89,Closed,,3192000.0,0.0,Call + SMS
LN-500146,2024-01,Branch,Salary advance,Central,720,Prime,1271000.0,6,0.2296,6,0,Current,Closed,,1271000.0,0.0,Field visit
LN-500147,2024-01,Digital app,Salary advance,Northern,639,Near-prime,1325000.0,12,0.3027,12,0,Current,Closed,,1325000.0,0.0,SMS only
LN-500148,2024-01,Digital app,SME working capital,Western,710,Prime,3157000.0,18,0.2324,18,0,Current,Closed,,3157000.0,0.0,Call + SMS
LN-500149,2024-01,Branch,Asset finance,Eastern,629,Near-prime,1348000.0,12,0.3175,12,0,Current,Closed,,1348000.0,0.0,SMS only
LN-500150,2024-01,Digital app,Salary advance,Central,556,Subprime,4337000.0,18,0.3834,18,0,Current,Closed,,4337000.0,0.0,SMS only
LN-500151,2024-01,Digital app,SME working capital,Northern,613,Subprime,704000.0,9,0.3688,9,65,60-89,Delinquent,4.0,318300.0,385700.0,Call + SMS
LN-500152,2024-01,Digital app,Asset finance,Central,580,Subprime,2621000.0,6,0.3835,6,0,Current,Closed,,2621000.0,0.0,Call + SMS
LN-500153,2024-01,Agent network,Consumer durable,Eastern,486,Subprime,975000.0,12,0.3486,12,190,90+,Default,12.0,112700.0,862300.0,Call + SMS
LN-500154,2024-01,Branch,Salary advance,Western,678,Near-prime,493000.0,12,0.3145,12,0,Current,Closed,,493000.0,0.0,Call + SMS
LN-500155,2024-01,Branch,Salary advance,Central,637,Near-prime,1616000.0,24,0.2972,24,0,Current,Closed,,1616000.0,0.0,Call + SMS
LN-500156,2024-01,Digital app,Asset finance,Western,528,Subprime,755000.0,9,0.3882,9,0,Current,Closed,,755000.0,0.0,SMS only
LN-500157,2024-01,Agent network,SME working capital,Eastern,560,Subprime,2110000.0,12,0.3896,12,65,60-89,Delinquent,1.0,526600.0,1583400.0,SMS only
LN-500158,2024-01,Digital app,Salary advance,Central,570,Subprime,1292000.0,18,0.3826,18,95,90+,Default,5.0,193000.0,1099000.0,Field visit
LN-500159,2024-01,Branch,Consumer durable,Central,722,Prime,750000.0,12,0.2301,12,0,Current,Closed,,750000.0,0.0,Call + SMS
LN-500160,2024-01,Partner retail,Salary advance,Central,636,Near-prime,594000.0,9,0.3288,9,0,Current,Closed,,594000.0,0.0,SMS only
LN-500161,2024-01,Digital app,Salary advance,Central,579,Subprime,1775000.0,6,0.3802,6,0,Current,Closed,,1775000.0,0.0,SMS only
LN-500162,2024-01,Agent network,Salary advance,Central,658,Near-prime,1182000.0,12,0.3308,12,0,Current,Closed,,1182000.0,0.0,None
LN-500163,2024-01,Branch,SME working capital,Western,756,Prime,1641000.0,18,0.2272,18,0,Current,Closed,,1641000.0,0.0,Field visit
LN-500164,2024-01,Branch,Asset finance,Central,600,Subprime,1031000.0,9,0.3532,9,12,1-29,Closed,,1031000.0,0.0,SMS only
LN-500165,2024-01,Digital app,Salary advance,Western,697,Near-prime,2232000.0,12,0.3309,12,0,Current,Closed,,2232000.0,0.0,SMS only
LN-500166,2024-01,Agent network,Asset finance,Central,505,Subprime,450000.0,12,0.3951,12,0,Current,Closed,,450000.0,0.0,Field visit
LN-500167,2024-01,Agent network,Salary advance,Western,675,Near-prime,1186000.0,18,0.3028,18,12,1-29,Closed,,1186000.0,0.0,SMS only
LN-500168,2024-01,Branch,Consumer durable,Central,688,Near-prime,3718000.0,9,0.3092,9,0,Current,Closed,,3718000.0,0.0,Field visit
LN-500169,2024-01,Branch,Consumer durable,Northern,620,Near-prime,663000.0,18,0.3144,18,0,Current,Closed,,663000.0,0.0,SMS only
LN-500170,2024-01,Branch,Consumer durable,Western,617,Subprime,895000.0,18,0.347,18,38,30-59,Closed,,895000.0,0.0,SMS only
LN-500171,2024-01,Digital app,Salary advance,Central,623,Near-prime,1905000.0,18,0.2988,18,0,Current,Closed,,1905000.0,0.0,None
LN-500172,2024-01,Digital app,Asset finance,Central,591,Subprime,1050000.0,12,0.3764,12,0,Current,Closed,,1050000.0,0.0,Call + SMS
LN-500173,2024-01,Branch,Salary advance,Eastern,680,Near-prime,4072000.0,6,0.308,6,0,Current,Closed,,4072000.0,0.0,Call + SMS
LN-500174,2024-01,Agent network,Salary advance,Central,672,Near-prime,5669000.0,6,0.3239,6,0,Current,Closed,,5669000.0,0.0,SMS only
LN-500175,2024-01,Digital app,Salary advance,Central,597,Subprime,2443000.0,18,0.3585,18,38,30-59,Closed,,2443000.0,0.0,Call + SMS
LN-500176,2024-01,Partner retail,Salary advance,Northern,564,Subprime,686000.0,12,0.3456,12,0,Current,Closed,,686000.0,0.0,Call + SMS
LN-500177,2024-01,Digital app,Consumer durable,Western,697,Near-prime,1310000.0,9,0.3165,9,0,Current,Closed,,1310000.0,0.0,Call + SMS
LN-500178,2024-01,Digital app,Consumer durable,Central,722,Prime,972000.0,9,0.2256,9,0,Current,Closed,,972000.0,0.0,Call + SMS
LN-500179,2024-01,Branch,Consumer durable,Central,593,Subprime,2793000.0,6,0.3819,6,12,1-29,Closed,,2793000.0,0.0,SMS only
LN-500180,2024-01,Digital app,Salary advance,Central,722,Prime,876000.0,6,0.2247,6,0,Current,Closed,,876000.0,0.0,SMS only
LN-500181,2024-01,Digital app,Salary advance,Central,630,Near-prime,1419000.0,18,0.3057,18,0,Current,Closed,,1419000.0,0.0,Field visit
LN-500182,2024-01,Digital app,Salary advance,Central,616,Subprime,1853000.0,12,0.3581,12,38,30-59,Closed,,1853000.0,0.0,None
LN-500183,2024-01,Branch,Consumer durable,Eastern,628,Near-prime,255000.0,6,0.3,6,0,Current,Closed,,255000.0,0.0,Field visit
LN-500184,2024-01,Partner retail,SME working capital,Western,635,Near-prime,1835000.0,9,0.3176,9,0,Current,Closed,,1835000.0,0.0,Call + SMS
LN-500185,2024-01,Agent network,Asset finance,Central,667,Near-prime,1102000.0,24,0.3002,24,0,Current,Closed,,1102000.0,0.0,SMS only
LN-500186,2024-01,Branch,SME working capital,Northern,642,Near-prime,1812000.0,9,0.303,9,0,Current,Closed,,1812000.0,0.0,None
LN-500187,2024-01,Branch,SME working capital,Northern,616,Subprime,889000.0,9,0.3855,9,0,Current,Closed,,889000.0,0.0,SMS only
LN-500188,2024-01,Digital app,Salary advance,Northern,625,Near-prime,1375000.0,12,0.289,12,0,Current,Closed,,1375000.0,0.0,Field visit
